order_item_id,transaction_id,product_id,quantity,unit_price
1,1,6,1,5.75
2,2,4,1,5.0
3,3,26,1,7.5
4,3,6,1,5.75
5,4,9,1,4.5
6,5,6,1,5.75
7,6,13,1,5.95
8,7,4,1,5.0
9,8,25,1,7.95
10,8,10,1,4.95
11,9,1,1,3.25
12,10,25,1,7.95
13,10,2,1,3.75
14,11,12,1,5.75
15,11,20,1,3.75
16,12,2,1,3.75
17,13,7,1,5.95
18,14,8,1,2.95
19,15,5,1,5.25
20,15,20,1,3.75
21,16,7,1,5.95
22,17,6,1,5.75
23,18,5,1,5.25
24,18,21,1,3.95
25,19,12,1,5.75
26,20,5,1,5.25
27,21,8,1,2.95
28,22,1,1,3.25
29,22,25,1,7.95
30,23,25,1,7.95
31,23,9,1,4.5
32,24,3,1,5.25
33,25,5,1,5.25
34,26,9,1,4.5
35,26,20,1,3.75
36,27,3,1,5.25
37,28,2,1,3.75
38,29,5,1,5.25
39,30,5,1,5.25
40,30,25,1,7.95
41,31,3,1,5.25
42,32,14,1,4.95
43,33,4,1,5.0
44,33,28,1,14.95
45,34,21,1,3.95
46,34,15,1,3.25
47,35,10,1,4.95
48,36,4,1,5.0
49,37,4,1,5.0
50,37,18,1,3.95
51,38,19,1,4.75
52,38,4,1,5.0
53,39,1,1,3.25
54,40,6,1,5.75
55,40,20,1,3.75
56,41,5,2,5.25
57,42,6,1,5.75
58,43,5,1,5.25
59,44,1,1,3.25
60,45,1,1,3.25
61,46,8,1,2.95
62,47,8,1,2.95
63,48,14,1,4.95
64,49,22,1,2.95
65,49,5,1,5.25
66,50,14,1,4.95
67,51,25,1,7.95
68,51,13,2,5.95
69,52,17,1,4.5
70,53,9,1,4.5
71,54,6,1,5.75
72,54,22,1,2.95
73,55,24,1,8.95
74,55,6,1,5.75
75,56,21,1,3.95
76,56,12,1,5.75
77,57,18,1,3.95
78,57,7,2,5.95
79,58,22,1,2.95
80,58,12,1,5.75
81,59,8,2,2.95
82,60,2,1,3.75
83,61,3,1,5.25
84,62,6,1,5.75
85,62,22,1,2.95
86,63,24,1,8.95
87,63,10,1,4.95
88,64,4,1,5.0
89,65,4,1,5.0
90,66,14,1,4.95
91,67,3,1,5.25
92,67,23,1,6.5
93,68,3,1,5.25
94,69,4,1,5.0
95,70,14,1,4.95
96,71,22,1,2.95
97,71,1,1,3.25
98,72,19,1,4.75
99,72,5,1,5.25
100,73,3,1,5.25
101,74,4,1,5.0
102,75,19,1,4.75
103,75,4,2,5.0
104,76,5,2,5.25
105,76,23,1,6.5
106,77,13,2,5.95
107,78,7,1,5.95
108,79,16,1,3.25
109,80,5,2,5.25
110,81,17,1,4.5
111,82,3,1,5.25
112,83,13,1,5.95
113,83,25,1,7.95
114,84,18,1,3.95
115,84,5,1,5.25
116,85,5,1,5.25
117,86,20,1,3.75
118,86,15,1,3.25
119,87,7,1,5.95
120,88,2,1,3.75
121,89,13,1,5.95
122,90,6,1,5.75
123,91,6,1,5.75
124,92,7,2,5.95
125,93,4,2,5.0
126,94,3,1,5.25
127,95,1,1,3.25
128,95,23,1,6.5
129,96,8,1,2.95
130,96,18,1,3.95
131,97,1,1,3.25
132,98,11,1,5.5
133,99,5,1,5.25
134,100,10,1,4.95
135,101,6,1,5.75
